Wine,Price_USD,Points,description,variety
Chateau Ste. Michelle 2011 Riesling (Columbia Valley (WA)),9,91,"A marvelous effort in a difficult year, this textbook Washington Riesling is bursting with apricot and peach goodness. Round and polished, it's long and textured, with an excellent wash of minerality.",Riesling
Quinta do Portal 2007 Mural Reserva Red (Douro),10,91,"A firm wine, based on dry tannins and some dense fruit. It has acidity, driven by black berry flavors. The core of the wine is dry, both from wood and acidity, and it will benefit from 2–3 years' aging.",Portuguese Red
José Maria da Fonseca 2007  Moscatel de Setúbal,10,91,"Orange peel aromas emerge on this delectable fortified Moscatel. Aging in barrel for at least three years has given it roundness and some old toast character that adds to the dried raisin and apricot flavors. Not for aging, drink now.",Moscatel
Snoqualmie 2006 Winemaker's Select Riesling (Columbia Valley (WA)),8,91,"With full ripeness, density and concentration, this keeps its superb balance at just 10.8% alcohol and 5% residual sugar. The dynamic tension plays out beautifully, and doesn't veer into any sort of sugary slackness. This has the sort of weight and complexity you would expect in a $30 wine.",Riesling
Barnard Griffin 2012 Riesling (Columbia Valley (WA)),10,91,"Gorgeous aromas of peach, pear, flower and spice highlight this wine right from the start. There is an exotic, floral flavor running alongside the tree fruits, and suggestions of mint and rosewater. Excellent length and balance, with just a hint of sweetness.",Riesling
Herdade dos Machados 2012 Toutalga Red (Alentejano),7,91,"Richly tannic, this concentrated wine has great structure and intense fruitiness and acidity. Generous and full bodied, it retains a dry core that gives shape to the ripe red berry fruits. Hints of wood aging still show, and the wine needs to develop further. Drink from 2017.",Portuguese Red
Lujon 2015 Riesling (Willamette Valley),10,91,"This contends for the best $10 Riesling in the country. It's off dry, with 30g/L of residual sugar, but not too sweet for some Asian noodle entrées. The mouthfeel is thick and borders on syrupy, with penetrating flavors of mango, papaya and peaches. It could also be served after dinner with fruit and soft cheeses.",Riesling
Chateau Ste. Michelle 2010 Dry Riesling (Columbia Valley (WA)),9,91,"Kudos to Ste. Michelle for accurately labeling this wine, and also for the Riesling sweetness scale on the back of all their Rieslings. Firm Yakima Valley fruit is the backbone here, tart and spicy, with bright flavors of pear and apple. A juicy, palate-cleansing style.",Riesling
Vilalva 2013 Reserva Red (Douro),10,91,"A generous wine that still manages to keep elegance and style. It offers black, juicy fruits that are blended with the spice from wood aging. There are blackberries, plenty of acidity and a dry but always fruity aftertaste. Drink from 2016.",Portuguese Red
Barnard Griffin 2012 Fumé Blanc Sauvignon Blanc (Columbia Valley (WA)),9,91,"This tangy, all-stainless, lightly grassy, dry Sauvignon Blanc is a pure and definitive elaboration of the grape's varietal character. Penetrating and crisp, it would be hard  to ask for more from a $9 wine.",Sauvignon Blanc
Quinta do Casal Branco 2004 Red (Ribatejo),10,91,"The estate wine from Casal Branco is impressive and structured, with dried berry fruits, dark, dry tannins and a solid structure. The acidity is very present, helping to keep the wine fresh, but the complex dark flavors and spice are certainly there to allow the wine to age over the next 3–4 years.",Portuguese Red
Chateau de l'Oiselinière 2014 Les Grands Gâts Sur Lie  (Muscadet Sèvre et Maine),10,91,"This is a wine that, unlike many Muscadets, can age well. Although only three years old, it will likely go for several more. That comes from the depth of the fruit, the ripe spice and acidity and the rounded white fruits. So drink now and until 2022.",Melon
Johann Donabaum 2015 Point Federspiel Grüner Veltliner (Wachau),10,91,"The ripe, appetizing zestiness of Amalfi lemon peel, paired with a green streak of lime and herb conquers nose and palate immediately. The palate brings out more lime freshness on a very linear, concentrated and taut palate. Both deliciously bracing and wonderfully refreshing.",Grüner Veltliner
Château Mayne Guyon 2011  Blaye Côtes de Bordeaux,10,91,"This rich and integrated wine is full of ripe berry fruit and firm tannins. It is a full, concentrated wine, densely textured and structured. There is a good sense of juiciness behind the youthful, firm surface. Give this fine, great-value wine at least four years.",Bordeaux-style Red Blend
Caves Aliança 2011 Aliança Reserva Red (Dão),10,91,"This is a fine wine, with great structure and ripe fruit. Dark tannins, a tense mineral texture and blackberry tones are all there, giving a wine that's rich and full bodied. Drink from 2017.",Portuguese Red
Dopff & Irion 2008 Crustacés White (Alsace),10,90,"Mid-gold color. Very mineral driven with subtle aromas of bruised apple and stone fruit compote. Crisp, fairly taut palate showing strong minerality and ripe flavors of red apple, cantaloupe, sweet nectarine and spice. Taut and precise texture with a long, slightly austere finish.",Alsace white blend
