Wine,Price_USD,Points,description,variety
Rulo 2007 Syrah (Columbia Valley (WA)),20,96,"Superb fruit highlights this tight, sculpted Syrah. It's extremely dense, with deep and intense raspberry and cassis fruit flavor, augmented with coffee grounds, smoke and iron filings. Complex, detailed, balanced and deep—what more can a wine give you? This is drinking very young and surely needs to be decanted. But already displaying amazing power.",Syrah
Dunham 2010 Lewis Estate Vineyard Riesling (Columbia Valley (WA)),20,95,"Truly stunning, the Lewis Estate Riesling from Dunham explodes with fragrant fruits—citrus, melon and tropical. A symphony of subtle accents, such as powdered sugar, candied citrus peel and breakfast tea, this gorgeous bottle belongs with the short list of the very best of Washington's many Rieslings.",Riesling
Alain Brumont 2010 Château Bouscassé Red (Madiran),20,95,"The home vineyard of Madiran's star, Alain Brumont, has yielded a superb wine that is full of dark tannins and with a considerable ability to age. It is balanced, concentrated and touched by spice and toastiness from the wood aging. In tandem with that are generous fruits within a dense structure that is just beginning to smooth out. Drink from 2018–2038.",Red Blend
Januik 2012 Bacchus Vineyard Riesling (Columbia Valley (WA)),20,95,"Spectacular is the word that comes to mind here. Tasted over many hours, this stunning effort proved itself over and over. A mix of citrus oils, tree fruits, a hint of honey, tea, lemon verbena and more, it delivers astonishing complexity and flavor for such a young wine. It should continue to evolve and improve from 2024–2034.",Riesling
Poet's Leap 2009 Riesling (Columbia Valley (WA)),20,95,"With residual sugar at about 1.35%, this balances the acidity without seeming sweet. Hand-picked and whole-cluster pressed, this immaculate, fresh, generous and stylish Riesling is always at the top of the list of Washington's best. Loaded with grapefruit, citrus and stone flavors, it cleans the palate and piles on the details as it rolls into a finish that lingers for well over a full minute.",Riesling
Stottle 2011 Lucille Late Harvest Viognier (Yakima Valley),18,94,"This tastes like a more concentrated and sweeter version of Stottle's dry Viognier from the same vintage and vineyard. Deeply concentrated, complex and creamy, it's loaded with citrus and stone fruits, honey and butterscotch, yet remains lifted by defining acidity.",Viognier
Brian Carter Cellars 2009 Opulento Dessert Wine Touriga-Souzao-Tinto Cão Port (Yakima Valley),20,94,"Opulento is made entirely- with authentic Portuguese varieties, based on 60% Touriga Nacional. It's truly Port-like in flavor, showing deep notes of black cherry and cassis fruit. Smooth and supple, this is thoroughly delicious and should not be missed.",Port
Château Vignelaure 2016 Rosé (Coteaux d'Aix-en-Provence),20,94,"This is one of the classics among Provence rosés. Produced from organically grown grapes and coming from an impressive red-wine producing estate east of Aix-en-Provence, the wine is structured and ageworthy with its blend that includes Cabernet Sauvignon. Rich and full of red fruits, the wine should be drunk from late 2017.",Rosé
Osborne NV Pedro Ximenez 1827 Sweet Sherry Sherry (Jerez),14,94,"A spectacularly sweet and rich bruiser, and one that delivers the essence of raisins, toffee and chocolate. This wine hasn't taken one turn south, and it's beckoning to be consumed. The finish is impeccably smooth and rich, and while its luscious to say the least, the amazing thing is its length, which runs a couple of minutes, no joke. A guarantee for anyone who loves the hedonistic combination of sweet fruit, brown sugar and chocolate.",Sherry
Domaine Marcel Deiss 2011 White (Alsace),20,94,"This wine is made from a mix of 13 different grape varieties in a field blend. It's a totally terroir driven wine, full of mineral and gritty textures in its youth. Behind this structure is a wild range of flavors—spice, apples, pears and apricots—waiting to show through. It needs to age, so drink from 2016.",White Blend
